Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples
4,watashiii,56.198,14.0,0.0,3.221,19.0,16.0,3,3,0,1
20,kar72,37.037,3.0,0.0,4.14,5.0,9.0,5,1,0,1
21,PoolNoodle,60.317,13.0,0.5,3.048,17.5,31.5,2,10,0,2
33,Tsui,41.788,5.5,0.0,3.8,12.5,14.5,6,6,0,2
37,claydoll1091,30.675,6.0,1.0,4.32,9.0,8.0,3,3,0,1
46,Orfey,21.805,7.0,1.0,3.586,10.0,5.0,4,2,0,1
49,accelerator11,39.022,10.0,1.0,3.897,12.5,8.5,8,4,0,2
51,Chata,36.196,6.0,0.0,3.949,10.0,11.0,4,2,0,1
59,neoburnz,43.516,5.0,0.0,3.969,8.0,15.5,7,4,1,2
66,bamboo,33.762,2.0,0.0,4.572,5.0,6.5,8,4,0,2
70,MahiruShiina,29.617,5.5,0.5,3.73,10.5,7.5,3,9,0,2
77,neptune,34.969,2.0,0.0,4.404,5.0,14.0,2,3,1,1
78,doomchicken,35.294,7.0,0.0,4.13,11.0,8.0,3,2,1,1
84,Alkios,30.0,3.0,0.0,4.315,10.0,7.0,4,2,0,1
91,Baikinman,32.593,7.0,0.0,3.614,11.0,8.0,3,3,0,1
98,Comete,24.39,1.0,0.0,4.225,6.0,3.0,1,5,0,1
103,mrwolf2,29.677,5.0,2.0,4.13,6.0,5.0,4,2,0,1
104,joey,30.502,6.5,0.5,3.85,10.0,7.0,6,5,1,2
106,cafezinho,30.37,2.0,1.0,4.268,4.0,10.0,5,1,0,1
115,Saiki,26.332,10.5,0.0,3.57,12.5,6.0,6,6,0,2
119,Fumiii,29.323,4.0,1.0,3.641,9.0,10.0,4,2,0,1
121,Janoxx,11.852,2.0,1.0,4.312,2.0,2.0,3,3,0,1
134,Jakemonkey,19.549,3.0,0.0,3.769,5.0,7.0,0,6,0,1
143,mahzrunner,30.766,2.0,0.0,4.231,5.5,10.0,6,6,0,2
147,thjalago,18.045,3.0,2.0,4.375,6.0,2.0,2,4,0,1
149,Zozo,29.448,3.0,0.0,4.562,5.0,7.0,2,3,1,1
150,Bommie,20.122,1.0,0.0,4.545,3.0,5.0,1,5,0,1
171,JustAWeirdo,12.358,1.25,0.5,4.799,2.25,1.5,13,11,0,4
177,oh95,29.032,4.0,0.0,4.156,4.0,8.0,4,2,0,1
217,ShelterRin,20.859,1.0,0.0,5.353,1.0,2.0,2,3,1,1
230,BigSmo,24.444,6.0,0.0,4.303,8.0,3.0,5,1,0,1
286,Lakumix,24.812,3.0,0.0,4.455,7.0,1.0,2,4,0,1
289,Provenance,27.185,2.333,0.333,4.321,5.333,5.667,6,11,1,3
291,ss_r_white_pony,23.704,4.0,0.0,3.812,7.0,5.0,3,3,0,1
292,FeyFey,17.486,3.0,2.0,4.479,5.0,2.0,7,5,0,2
311,beautiful,22.556,3.0,0.0,3.967,7.0,3.0,0,6,0,1
318,Nephirea,27.607,1.0,0.0,4.867,4.0,2.0,3,3,0,1
336,fiftypercentweeb,23.967,0.0,0.0,4.276,3.0,4.0,3,3,0,1
347,Selaph,37.857,3.0,0.0,4.283,5.0,13.0,4,2,0,1
353,Solosion,20.301,2.0,0.0,4.222,7.0,2.0,4,2,0,1
357,chommy,16.898,3.5,2.0,4.54,6.5,2.5,6,6,0,2
379,CipherKai,27.407,1.0,0.0,4.514,4.0,6.0,5,1,0,1
391,rinshantsumo,6.015,0.0,2.0,4.5,1.0,0.0,0,6,0,1
398,kabao,21.111,2.0,1.0,4.763,6.0,7.0,4,2,0,1
399,ElJuanchi,14.815,2.0,0.0,4.35,3.0,3.0,3,3,0,1
410,FoopyPoopy,5.556,1.0,2.0,3.857,1.0,1.0,2,4,0,1
431,Luna,9.804,0.0,4.0,5.8,2.0,0.0,3,2,1,1
453,RyoutaVN,16.129,1.0,1.0,4.88,2.0,2.0,4,2,0,1
