Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples
7.0,Stunar,85.437,4.0,0.0,3.136,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,1
8.0,Hejsan,47.273,0.0,1.0,4.365,2.0,20.0,3.0,2.0,0.0,30.0,22.0,40.0,10.0,5.0,1.0,4.0,0.0,3.9,1
14.0,ArronChu,66.139,10.5,0.75,3.602,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,4
20.0,kar72,61.538,6.5,0.25,3.554,13.75,16.75,15.0,6.0,0.0,33.75,36.25,37.5,3.75,4.25,0.25,1.75,2.5,3.519,4
21.0,PoolNoodle,72.511,8.0,0.0,3.362,15.0,26.25,19.0,25.0,1.0,23.875,61.25,24.25,0.375,7.375,0.0,0.125,2.875,2.853,8
23.0,Shuuka,35.593,5.0,0.0,3.286,9.0,10.0,4.0,2.0,0.0,23.0,19.0,40.0,17.0,8.0,4.0,2.0,1.0,2.45,1
30.0,revel,55.441,6.5,0.0,3.583,13.5,14.5,6.0,4.0,0.0,33.0,26.5,35.5,2.5,7.5,0.0,1.0,0.5,3.174,2
33.0,Tsui,60.74,4.3,0.0,3.918,10.7,19.0,21.0,28.0,4.0,22.8,55.0,27.8,5.0,6.2,1.2,1.7,2.1,3.396,10
37.0,claydoll1091,42.53,3.9,0.1,3.878,9.2,8.0,29.0,23.0,1.0,20.0,27.4,24.4,4.4,8.0,1.7,0.6,0.4,2.89,10
38.0,Diukes,46.269,5.0,1.0,3.839,9.0,10.0,4.0,1.0,1.0,37.0,25.0,59.0,22.0,11.0,3.0,3.0,0.0,3.119,1
40.0,FUCK_AMQ,33.1,4.2,0.2,3.634,8.0,6.0,13.0,14.0,0.0,21.6,12.0,34.4,12.8,5.2,2.0,2.6,0.2,2.993,5
45.0,Noru,54.438,5.667,0.333,3.888,9.333,8.333,10.0,5.0,0.0,30.333,24.0,36.333,6.0,7.667,0.667,2.0,0.0,3.323,3
46.0,Orfey,37.05,4.333,0.667,3.604,7.667,9.333,9.0,8.0,0.0,23.333,17.0,32.667,9.333,5.333,2.333,1.667,0.0,2.887,3
47.0,Renzou,56.305,7.5,0.0,3.606,13.0,12.0,5.0,5.0,0.0,35.0,28.5,38.0,3.0,10.5,1.5,1.0,0.0,2.86,2
49.0,accelerator11,38.017,3.0,3.0,4.304,10.0,6.0,4.0,1.0,0.0,27.0,19.0,56.0,29.0,8.0,4.0,9.0,0.0,3.179,1
50.0,Sniparook,58.974,4.0,0.0,4.217,5.0,18.0,2.0,4.0,0.0,53.0,39.0,67.0,14.0,6.0,2.0,5.0,1.0,3.642,1
51.0,Chata,52.208,4.5,0.333,4.183,9.667,10.167,19.0,11.0,1.0,34.0,35.0,38.833,4.833,5.0,1.333,0.833,1.167,3.823,6
52.0,Thaleko,66.241,6.4,0.0,3.836,13.2,19.2,14.0,12.0,0.0,38.8,41.6,40.4,1.6,5.4,0.4,0.8,1.4,3.628,5
58.0,Lika,42.577,8.6,0.2,3.548,12.4,10.6,15.0,11.0,2.0,23.0,28.4,25.8,2.8,9.6,0.8,0.6,0.6,2.386,5
59.0,neoburnz,63.983,5.8,0.0,3.851,13.6,18.4,26.0,25.0,3.0,41.8,41.2,44.4,2.6,6.9,0.6,0.9,1.0,3.446,10
66.0,bamboo,43.607,5.143,0.0,3.877,10.0,9.286,20.0,16.0,2.0,27.571,26.286,27.857,0.286,8.0,0.143,0.0,0.571,3.373,7
67.0,DKing20,47.899,1.0,0.0,4.474,8.0,8.0,3.0,2.0,0.0,36.0,21.0,36.0,0.0,4.0,0.0,0.0,0.0,4.222,1
69.0,Jube,34.409,2.0,0.0,4.125,6.0,4.0,2.0,3.0,0.0,18.0,14.0,24.0,6.0,3.0,2.0,1.0,0.0,3.167,1
70.0,MahiruShiina,50.311,6.0,0.1,3.631,11.0,12.6,29.0,26.0,0.0,42.4,13.5,51.4,9.0,8.5,2.2,3.2,0.1,3.182,10
72.0,ruuka,40.286,3.0,1.333,3.699,7.333,8.667,8.0,9.0,0.0,22.667,16.333,38.0,15.333,6.0,0.667,3.333,0.333,3.156,3
77.0,neptune,62.287,3.5,1.0,4.411,11.5,9.5,7.0,4.0,0.0,48.0,34.5,52.5,4.5,4.5,0.5,1.5,0.0,4.136,2
78.0,doomchicken,48.624,4.0,0.0,3.452,10.5,12.5,7.0,5.0,0.0,35.5,18.5,41.5,6.0,6.0,1.0,2.0,0.0,3.06,2
79.0,JuliAless64,56.18,4.667,0.333,4.055,8.0,17.667,5.0,8.0,1.0,41.0,22.0,48.0,7.0,6.667,1.333,3.0,0.333,3.7,3
81.0,Pile,46.098,5.4,0.0,4.08,9.6,13.2,13.0,14.0,2.0,39.6,26.2,55.4,15.8,12.4,6.0,4.0,0.4,3.057,5
82.0,ShiinaMahiru,58.774,4.75,0.0,4.025,9.75,17.5,11.0,12.0,0.0,36.0,45.25,36.75,0.75,4.0,0.0,0.5,1.5,4.053,4
83.0,Milar,61.434,6.8,0.2,3.471,13.0,22.0,13.0,15.0,0.0,29.2,43.2,33.0,3.8,8.8,1.2,1.0,1.0,2.696,5
84.0,Alkios,42.042,2.0,0.0,4.269,6.333,10.0,7.0,10.0,0.0,17.0,35.0,22.667,5.667,4.0,1.333,0.667,1.0,3.879,3
87.0,Beokros,46.194,4.857,0.143,3.9,9.286,12.0,22.0,14.0,4.0,36.857,23.714,40.714,3.857,9.0,1.143,0.857,0.571,3.318,7
88.0,Emdiel,49.184,4.0,0.1,4.031,9.1,9.6,27.0,26.0,0.0,35.8,16.7,43.6,7.8,4.3,1.2,3.3,0.5,3.526,10
90.0,Keizan,31.231,4.5,1.5,3.586,8.0,4.0,5.0,5.0,0.0,20.0,9.5,27.5,7.5,10.0,1.0,2.5,0.0,3.15,2
91.0,Baikinman,42.644,1.5,0.5,4.345,5.5,7.0,6.0,4.0,0.0,30.0,16.0,49.5,19.5,3.0,1.0,6.0,0.0,3.617,2
97.0,chaabdu92,42.57,2.5,0.333,4.102,6.667,8.333,18.0,14.0,1.0,29.5,19.833,34.0,4.5,5.667,0.5,0.667,0.333,3.819,6
98.0,Comete,41.6,3.0,1.0,4.231,8.0,5.0,5.0,1.0,0.0,35.0,17.0,45.0,10.0,7.0,2.0,1.0,0.0,3.844,1
100.0,753,48.52,2.75,0.5,4.285,7.5,9.75,12.0,10.0,0.0,43.75,19.5,67.25,23.5,6.5,6.0,3.25,0.75,3.328,4
103.0,mrwolf2,44.578,7.0,0.0,2.649,13.0,10.0,3.0,2.0,0.0,11.0,26.0,20.0,9.0,5.0,4.0,1.0,2.0,1.55,1
104.0,joey,40.778,3.4,0.3,3.925,9.5,5.9,25.0,29.0,0.0,26.0,18.4,30.9,4.9,6.2,0.6,1.8,0.5,3.376,10
105.0,Zeal_Kido,38.938,5.0,0.0,3.591,9.0,12.0,2.0,3.0,0.0,37.0,7.0,50.0,13.0,6.0,6.0,2.0,0.0,2.86,1
106.0,cafezinho,51.916,4.4,0.0,3.808,10.9,13.0,27.0,26.0,2.0,40.0,22.0,48.9,8.9,6.1,1.4,2.8,0.7,3.314,10
107.0,Cindergoat,17.548,1.5,0.0,4.148,5.0,1.5,2.0,7.0,1.0,12.5,6.5,27.5,15.0,5.5,2.5,4.0,0.0,2.778,2
112.0,Legitted,47.674,4.0,0.0,4.402,10.0,10.0,3.0,3.0,0.0,24.0,58.0,25.0,1.0,9.0,0.0,0.0,1.0,3.52,1
113.0,Maki04,51.01,1.75,0.25,4.297,8.0,11.0,8.0,12.0,2.0,39.0,28.5,49.0,10.0,6.25,1.75,2.25,0.5,3.842,4
114.0,Mayottatoki,47.685,2.8,0.2,4.379,6.4,7.4,8.0,16.0,1.0,28.8,23.4,38.4,9.6,6.0,2.0,2.2,0.4,3.84,5
119.0,Fumiii,51.915,3.1,0.0,4.145,8.7,10.6,24.0,28.0,1.0,44.2,19.0,48.0,3.8,4.1,0.5,1.0,0.3,3.851,10
120.0,HiHi,41.985,4.0,1.0,4.018,7.0,12.0,1.0,4.0,1.0,33.0,22.0,35.0,2.0,7.0,1.0,0.0,1.0,4.086,1
121.0,Janoxx,29.788,4.5,0.8,3.651,9.1,4.7,28.0,25.0,0.0,14.9,17.8,16.0,1.1,6.7,0.7,0.2,0.6,2.362,10
123.0,Konsumenci,32.865,4.1,0.7,4.109,8.0,4.9,26.0,26.0,0.0,17.2,21.2,21.6,4.4,8.8,1.9,0.6,0.5,2.959,10
128.0,apurplenose,54.891,5.143,0.143,4.051,8.857,11.286,17.0,16.0,2.0,28.0,33.714,30.429,2.429,6.429,0.429,1.0,0.857,3.571,7
129.0,peeku,45.098,4.0,0.0,4.304,6.0,4.0,1.0,4.0,0.0,26.0,20.0,29.0,3.0,4.0,1.0,1.0,1.0,4.0,1
133.0,ChrisLefko,35.847,0.5,1.0,4.508,4.5,5.0,4.0,5.0,1.0,27.0,18.0,38.5,11.5,2.5,0.5,2.0,0.0,3.948,2
134.0,Jakemonkey,48.057,2.333,0.333,4.043,6.333,9.333,5.0,10.0,0.0,23.333,26.667,26.667,3.333,6.0,1.0,0.333,0.0,3.602,3
136.0,Megu29,25.51,2.0,0.0,3.8,5.0,2.0,2.0,3.0,0.0,20.0,5.0,42.0,22.0,7.0,3.0,4.0,0.0,2.714,1
139.0,benevelante,33.414,1.667,1.667,4.512,4.333,9.333,6.0,9.0,1.0,30.0,12.667,37.0,7.0,3.333,0.0,2.667,0.333,4.329,3
143.0,mahzrunner,40.071,2.625,0.25,4.37,7.125,5.125,16.0,25.0,1.0,26.75,21.875,32.0,5.25,6.75,0.875,1.5,0.125,3.714,8
144.0,liljakatsuragi,47.123,2.7,0.2,4.154,8.4,9.8,24.0,29.0,2.0,35.2,19.0,40.5,5.3,4.4,1.0,1.5,0.5,3.809,10
146.0,tapumomo,44.884,4.5,0.5,3.961,10.0,6.875,26.0,16.0,1.0,28.75,21.875,32.5,3.75,6.5,0.75,0.375,1.125,3.457,8
